customer_id,age,age_group,gender,location,subscription_status,item_purchased,category,size,color,season,purchase_amount,discount_applied,previous_purchases,frequency_of_purchases,purchase_frequency_days,payment_method,shipping_type,review_rating
1,55,Middle-aged,Male,Kentucky,Yes,Blouse,Clothing,L,Gray,Winter,53,Yes,14,Fortnightly,14,Venmo,Express,3.1
2,19,Young Adult,Male,Maine,Yes,Sweater,Clothing,L,Maroon,Winter,64,Yes,2,Fortnightly,14,Cash,Express,3.1
3,50,Middle-aged,Male,Massachusetts,Yes,Jeans,Clothing,S,Maroon,Spring,73,Yes,23,Weekly,7,Credit Card,Free Shipping,3.1
4,21,Young Adult,Male,Rhode Island,Yes,Sandals,Footwear,M,Maroon,Spring,90,Yes,49,Weekly,7,PayPal,Next Day Air,3.5
5,45,Middle-aged,Male,Oregon,Yes,Blouse,Clothing,M,Turquoise,Spring,49,Yes,31,Annually,365,PayPal,Free Shipping,2.7
6,46,Middle-aged,Male,Wyoming,Yes,Sneakers,Footwear,M,White,Summer,20,Yes,14,Weekly,7,Venmo,Standard,2.9
7,63,Senior,Male,Montana,Yes,Shirt,Clothing,M,Gray,Fall,85,Yes,49,Quarterly,90,Cash,Free Shipping,3.2
8,27,Young Adult,Male,Louisiana,Yes,Shorts,Clothing,L,Charcoal,Winter,34,Yes,19,Weekly,7,Credit Card,Free Shipping,3.2
9,26,Young Adult,Male,West Virginia,Yes,Coat,Outerwear,L,Silver,Summer,97,Yes,8,Annually,365,Venmo,Express,2.6
10,57,Middle-aged,Male,Missouri,Yes,Handbag,Accessories,M,Pink,Spring,31,Yes,4,Quarterly,90,Cash,2-Day Shipping,4.8
11,53,Middle-aged,Male,Arkansas,Yes,Shoes,Footwear,L,Purple,Fall,34,Yes,26,Bi-Weekly,14,Bank Transfer,Store Pickup,4.1
12,30,Young Adult,Male,Hawaii,Yes,Shorts,Clothing,S,Olive,Winter,68,Yes,10,Fortnightly,14,Bank Transfer,Store Pickup,4.9
13,61,Senior,Male,Delaware,Yes,Coat,Outerwear,M,Gold,Winter,72,Yes,37,Fortnightly,14,Venmo,Express,4.5
14,65,Senior,Male,New Hampshire,Yes,Dress,Clothing,M,Violet,Spring,51,Yes,31,Weekly,7,PayPal,Express,4.7
15,64,Senior,Male,New York,Yes,Coat,Outerwear,L,Teal,Winter,53,Yes,34,Weekly,7,Debit Card,Free Shipping,4.7
16,64,Senior,Male,Rhode Island,Yes,Skirt,Clothing,M,Teal,Winter,81,Yes,8,Monthly,30,PayPal,Store Pickup,2.8
17,25,Young Adult,Male,Alabama,Yes,Sunglasses,Accessories,S,Gray,Spring,36,Yes,44,Bi-Weekly,14,Debit Card,Next Day Air,4.1
18,53,Middle-aged,Male,Mississippi,Yes,Dress,Clothing,XL,Lavender,Winter,38,Yes,36,Quarterly,90,Venmo,2-Day Shipping,4.7
19,52,Middle-aged,Male,Montana,Yes,Sweater,Clothing,S,Black,Summer,48,Yes,17,Weekly,7,Cash,Free Shipping,4.6
20,66,Senior,Male,Rhode Island,Yes,Pants,Clothing,M,Green,Summer,90,Yes,46,Bi-Weekly,14,Debit Card,Standard,3.3
21,21,Young Adult,Male,Louisiana,Yes,Pants,Clothing,M,Black,Winter,51,Yes,50,Every 3 Months,90,Cash,Express,2.8
22,31,Young Adult,Male,North Carolina,Yes,Pants,Clothing,M,Charcoal,Winter,62,Yes,22,Quarterly,90,Debit Card,Store Pickup,4.1
23,56,Middle-aged,Male,California,Yes,Pants,Clothing,M,Peach,Summer,37,Yes,32,Annually,365,Debit Card,Store Pickup,3.2
24,31,Young Adult,Male,Oklahoma,Yes,Pants,Clothing,XL,White,Winter,88,Yes,40,Weekly,7,Credit Card,Express,4.4
25,18,Young Adult,Male,Florida,Yes,Jacket,Outerwear,M,Green,Fall,22,Yes,16,Weekly,7,Debit Card,Store Pickup,2.9
26,18,Young Adult,Male,Texas,Yes,Hoodie,Clothing,M,Silver,Summer,25,Yes,14,Annually,365,PayPal,Express,3.6
27,38,Adult,Male,Nevada,Yes,Jewelry,Accessories,M,Red,Spring,20,Yes,13,Annually,365,Credit Card,Next Day Air,3.6
28,56,Middle-aged,Male,Kentucky,Yes,Shorts,Clothing,L,Cyan,Summer,56,Yes,7,Every 3 Months,90,Bank Transfer,Next Day Air,5.0
29,54,Middle-aged,Male,North Carolina,Yes,Handbag,Accessories,M,Gray,Fall,94,Yes,41,Every 3 Months,90,PayPal,Free Shipping,4.4
30,31,Young Adult,Male,Wyoming,Yes,Dress,Clothing,S,Black,Fall,48,Yes,14,Weekly,7,Credit Card,Store Pickup,4.1
31,57,Middle-aged,Male,North Carolina,Yes,Jewelry,Accessories,L,Black,Winter,31,Yes,16,Monthly,30,Credit Card,Standard,4.7
32,33,Adult,Male,West Virginia,Yes,Dress,Clothing,L,Brown,Winter,79,Yes,45,Monthly,30,Venmo,Store Pickup,4.7
33,36,Adult,Male,Kansas,Yes,Jacket,Outerwear,M,Silver,Summer,67,Yes,37,Annually,365,Venmo,Free Shipping,4.9
34,54,Middle-aged,Male,Colorado,Yes,Pants,Clothing,L,Green,Summer,38,Yes,45,Quarterly,90,Cash,Store Pickup,3.3
35,36,Adult,Male,North Dakota,Yes,T-shirt,Clothing,L,Violet,Spring,91,Yes,38,Quarterly,90,PayPal,2-Day Shipping,4.6
36,54,Middle-aged,Male,Massachusetts,Yes,Blouse,Clothing,M,Cyan,Summer,33,Yes,48,Bi-Weekly,14,Credit Card,2-Day Shipping,4.0
37,35,Adult,Male,Illinois,Yes,T-shirt,Clothing,M,Maroon,Winter,69,Yes,44,Fortnightly,14,PayPal,Free Shipping,4.6
38,35,Adult,Male,Indiana,Yes,Jeans,Clothing,S,Cyan,Summer,45,Yes,10,Weekly,7,PayPal,Store Pickup,2.8
39,29,Young Adult,Male,Florida,Yes,Dress,Clothing,M,Red,Winter,37,Yes,44,Every 3 Months,90,Venmo,2-Day Shipping,3.7
40,70,Senior,Male,Arizona,Yes,Pants,Clothing,S,Turquoise,Summer,60,Yes,18,Monthly,30,Credit Card,Express,4.2
